"","X","Y","offense","year"
"90",-71.104004,42.396068,"BURGLARY/BREAKING AND ENTERING",2005
"91",-71.078078,42.385883,"ROBBERY",2005
"92",-71.105901,42.390326,"BURGLARY/BREAKING AND ENTERING",2005
"93",-71.097263,42.398053,"MOTOR VEHICLE THEFT",2005
"94",-71.117298,42.404194,"THEFT FROM MOTOR VEHICLE",2005
"95",-71.111586,42.393435,"BURGLARY/BREAKING AND ENTERING",2005
"96",-71.113286,42.394118,"BURGLARY/BREAKING AND ENTERING",2005
"97",-71.099892,42.387283,"BURGLARY/BREAKING AND ENTERING",2005
"98",-71.10952,42.390981,"BURGLARY/BREAKING AND ENTERING",2005
"99",-71.092192,42.391408,"THEFT FROM MOTOR VEHICLE",2005
"100",-71.084663,42.387961,"BURGLARY/BREAKING AND ENTERING",2005
"101",-71.089992,42.392898,"BURGLARY/BREAKING AND ENTERING",2005
"102",-71.088095,42.394761,"MOTOR VEHICLE THEFT",2005
"103",-71.12992,42.407279,"MOTOR VEHICLE THEFT",2005
"104",-71.088852,42.382487,"BURGLARY/BREAKING AND ENTERING",2005
"105",-71.111922,42.385361,"THEFT FROM MOTOR VEHICLE",2005
"106",-71.086967,42.390737,"ROBBERY",2005
"107",-71.1067,42.38369,"MOTOR VEHICLE THEFT",2005
"108",-71.12072,42.39884,"THEFT FROM MOTOR VEHICLE",2005
"109",-71.086811,42.381246,"BURGLARY/BREAKING AND ENTERING",2005
"110",-71.117241,42.404837,"BURGLARY/BREAKING AND ENTERING",2005
"111",-71.09798,42.379466,"ROBBERY",2005
"112",-71.090329,42.374406,"ROBBERY",2005
"113",-71.097246,42.390803,"THEFT FROM MOTOR VEHICLE",2005
"114",-71.1024254,42.3821249,"MOTOR VEHICLE THEFT",2005
"115",-71.087804,42.395625,"MOTOR VEHICLE THEFT",2005
"116",-71.087607,42.381151,"BURGLARY/BREAKING AND ENTERING",2005
"117",-71.096168,42.398981,"BURGLARY/BREAKING AND ENTERING",2005
"118",-71.087607,42.381151,"BURGLARY/BREAKING AND ENTERING",2005
"119",-71.116136,42.401869,"BURGLARY/BREAKING AND ENTERING",2005
"120",-71.12531,42.406255,"THEFT FROM MOTOR VEHICLE",2005
"121",-71.1274449,42.4052157,"THEFT FROM MOTOR VEHICLE",2005
"122",-71.104162,42.388828,"THEFT FROM MOTOR VEHICLE",2005
"123",-71.124172,42.405551,"THEFT FROM MOTOR VEHICLE",2005
"124",-71.12066,42.391595,"THEFT FROM MOTOR VEHICLE",2005
"125",-71.13075,42.408002,"MOTOR VEHICLE THEFT",2005
"126",-71.125533,42.407729,"BURGLARY/BREAKING AND ENTERING",2005
"127",-71.107978,42.398483,"MOTOR VEHICLE THEFT",2005
"128",-71.0949377,42.3749337,"MOTOR VEHICLE THEFT",2005
"129",-71.0949377,42.3749337,"MOTOR VEHICLE THEFT",2005
"130",-71.113226,42.392503,"THEFT FROM MOTOR VEHICLE",2005
"131",-71.124812,42.40494,"BURGLARY/BREAKING AND ENTERING",2005
"132",-71.090418,42.387459,"BURGLARY/BREAKING AND ENTERING",2005
"133",-71.089908,42.391201,"MOTOR VEHICLE THEFT",2005
"134",-71.097654,42.381772,"THEFT FROM MOTOR VEHICLE",2005
"135",-71.130912,42.406537,"BURGLARY/BREAKING AND ENTERING",2005
"136",-71.10001,42.39608,"MOTOR VEHICLE THEFT",2005
"137",-71.110962,42.382059,"BURGLARY/BREAKING AND ENTERING",2005
"138",-71.121842,42.403638,"BURGLARY/BREAKING AND ENTERING",2005
"139",-71.093945,42.391102,"BURGLARY/BREAKING AND ENTERING",2005
"140",-71.1096232,42.3877952,"MOTOR VEHICLE THEFT",2005
"141",-71.090117,42.390783,"THEFT FROM MOTOR VEHICLE",2005
"142",-71.130232,42.40507,"BURGLARY/BREAKING AND ENTERING",2005
"143",-71.0965187,42.3917521,"MOTOR VEHICLE THEFT",2005
"144",-71.081748,42.385196,"MOTOR VEHICLE THEFT",2005
"145",-71.092248,42.386019,"MOTOR VEHICLE THEFT",2005
"146",-71.08779,42.385892,"MOTOR VEHICLE THEFT",2005
"147",-71.095103,42.389047,"BURGLARY/BREAKING AND ENTERING",2005
"148",-71.085086,42.388222,"MOTOR VEHICLE THEFT",2005
"149",-71.095947,42.379612,"MOTOR VEHICLE THEFT",2005
"150",-71.083428,42.384338,"THEFT FROM MOTOR VEHICLE",2005
"151",-71.1063412,42.3873943,"MOTOR VEHICLE THEFT",2005
"152",-71.104155,42.376538,"BURGLARY/BREAKING AND ENTERING",2005
"153",-71.102885,42.3788,"BURGLARY/BREAKING AND ENTERING",2005
"154",-71.1124175,42.3836802,"MOTOR VEHICLE THEFT",2005
"155",-71.099171,42.380983,"BURGLARY/BREAKING AND ENTERING",2005
"156",-71.082634,42.391684,"ROBBERY",2005
"157",-71.116658,42.390375,"BURGLARY/BREAKING AND ENTERING",2005
"158",-71.118093,42.394609,"BURGLARY/BREAKING AND ENTERING",2005
"159",-71.111583,42.399649,"BURGLARY/BREAKING AND ENTERING",2005
"160",-71.117869,42.393784,"BURGLARY/BREAKING AND ENTERING",2005
"161",-71.110585,42.391331,"BURGLARY/BREAKING AND ENTERING",2005
"162",-71.093004,42.397113,"THEFT FROM MOTOR VEHICLE",2005
"163",-71.120343,42.398871,"MOTOR VEHICLE THEFT",2005
"164",-71.0870473,42.3774873,"MOTOR VEHICLE THEFT",2005
"165",-71.110346,42.388928,"BURGLARY/BREAKING AND ENTERING",2005
"166",-71.083079,42.383694,"BURGLARY/BREAKING AND ENTERING",2005
"167",-71.116879,42.402391,"BURGLARY/BREAKING AND ENTERING",2005
"168",-71.121356,42.394697,"MOTOR VEHICLE THEFT",2005
"169",-71.084373,42.381545,"MOTOR VEHICLE THEFT",2005
"170",-71.111243,42.386301,"BURGLARY/BREAKING AND ENTERING",2005
"171",-71.111243,42.386301,"BURGLARY/BREAKING AND ENTERING",2005
"172",-71.092678,42.38615,"THEFT FROM MOTOR VEHICLE",2005
"173",-71.094448,42.379139,"ROBBERY",2005
"174",-71.122702,42.397973,"BURGLARY/BREAKING AND ENTERING",2005
"175",-71.078604,42.387814,"MOTOR VEHICLE THEFT",2005
"176",-71.108096,42.398463,"MOTOR VEHICLE THEFT",2005
"177",-71.106353,42.378236,"ROBBERY",2005
"178",-71.104958,42.382942,"ROBBERY",2005
"179",-71.09628,42.388398,"THEFT FROM MOTOR VEHICLE",2005
"180",-71.093388,42.397744,"MOTOR VEHICLE THEFT",2005
"181",-71.103721,42.382605,"MOTOR VEHICLE THEFT",2005
"182",-71.126624,42.40296,"MOTOR VEHICLE THEFT",2005
"183",-71.088192,42.385122,"BURGLARY/BREAKING AND ENTERING",2005
"184",-71.127457,42.403442,"MOTOR VEHICLE THEFT",2005
"185",-71.118095,42.395994,"BURGLARY/BREAKING AND ENTERING",2005
"186",-81.9739207,36.6969519,"ROBBERY",2005
"187",-71.095618,42.376802,"MOTOR VEHICLE THEFT",2005
"188",-71.089871,42.379572,"MOTOR VEHICLE THEFT",2005
"189",-71.123772,42.394063,"BURGLARY/BREAKING AND ENTERING",2005
"190",-71.114437,42.40072,"BURGLARY/BREAKING AND ENTERING",2005
"191",-71.124474,42.394698,"BURGLARY/BREAKING AND ENTERING",2005
"192",-71.114152,42.386579,"THEFT FROM MOTOR VEHICLE",2005
"193",-71.108193,42.379815,"THEFT FROM MOTOR VEHICLE",2005
"194",-71.100833,42.382304,"MOTOR VEHICLE THEFT",2005
"195",-71.086037,42.397859,"MOTOR VEHICLE THEFT",2005
"196",-79.9092233,40.9199077,"MOTOR VEHICLE THEFT",2005
"197",-71.107058,42.384332,"BURGLARY/BREAKING AND ENTERING",2005
"198",-71.079136,42.384373,"THEFT FROM MOTOR VEHICLE",2005
"199",-71.083322,42.384602,"BURGLARY/BREAKING AND ENTERING",2005
"200",-71.096494,42.379564,"THEFT FROM MOTOR VEHICLE",2005
"201",-71.082634,42.391684,"THEFT FROM MOTOR VEHICLE",2005
"202",-71.09553,42.383759,"MOTOR VEHICLE THEFT",2005
"203",-71.087147,42.381776,"THEFT FROM MOTOR VEHICLE",2005
"204",-71.095743,42.394412,"BURGLARY/BREAKING AND ENTERING",2005
"205",-71.1211361,42.3942248,"MOTOR VEHICLE THEFT",2005
"206",-71.0929,42.396484,"BURGLARY/BREAKING AND ENTERING",2005
"207",-71.126383,42.402987,"MOTOR VEHICLE THEFT",2005
"208",-71.126246,42.403189,"THEFT FROM MOTOR VEHICLE",2005
"209",-71.117479,42.393263,"BURGLARY/BREAKING AND ENTERING",2005
"210",-71.095684,42.394475,"BURGLARY/BREAKING AND ENTERING",2005
"211",-71.097177,42.389066,"ROBBERY",2005
"212",-71.099167,42.39667,"MOTOR VEHICLE THEFT",2005
"213",-71.1076699,42.3840609,"MOTOR VEHICLE THEFT",2005
"214",-71.102713,42.385252,"BURGLARY/BREAKING AND ENTERING",2005
"215",-71.12996,42.404873,"MOTOR VEHICLE THEFT",2005
"216",-71.107967,42.39854,"MOTOR VEHICLE THEFT",2005
"217",-71.097193,42.380919,"BURGLARY/BREAKING AND ENTERING",2005
"218",-71.090039,42.38268,"BURGLARY/BREAKING AND ENTERING",2005
"219",-71.100396,42.381525,"BURGLARY/BREAKING AND ENTERING",2005
"220",-71.083081,42.38172,"THEFT FROM MOTOR VEHICLE",2005
"221",-71.083322,42.384602,"BURGLARY/BREAKING AND ENTERING",2005
"222",-71.121652,42.394876,"BURGLARY/BREAKING AND ENTERING",2005
"223",-71.131135,42.404693,"MOTOR VEHICLE THEFT",2005
"224",-71.097193,42.380919,"BURGLARY/BREAKING AND ENTERING",2005
"225",-71.079509,42.38542,"BURGLARY/BREAKING AND ENTERING",2005
"226",-71.123462,42.400111,"THEFT FROM MOTOR VEHICLE",2005
"227",-71.092695,42.384456,"MOTOR VEHICLE THEFT",2005
"228",-71.091336,42.390058,"BURGLARY/BREAKING AND ENTERING",2005
"229",-71.102478,42.377293,"MOTOR VEHICLE THEFT",2005
"230",-71.116543,42.392338,"BURGLARY/BREAKING AND ENTERING",2005
"231",-71.117137,42.393031,"BURGLARY/BREAKING AND ENTERING",2005
"232",-71.104167,42.378737,"BURGLARY/BREAKING AND ENTERING",2005
"233",-71.105669,42.378485,"MOTOR VEHICLE THEFT",2005
"234",-71.118111,42.391143,"THEFT FROM MOTOR VEHICLE",2005
"235",-71.089581,42.389807,"THEFT FROM MOTOR VEHICLE",2005
"236",-71.1343051,42.4044075,"MOTOR VEHICLE THEFT",2005
"237",-71.116935,42.38996,"BURGLARY/BREAKING AND ENTERING",2005
"238",-71.080882,42.376641,"MOTOR VEHICLE THEFT",2005
"239",-71.084943,42.383514,"BURGLARY/BREAKING AND ENTERING",2005
"240",-71.089394,42.383989,"BURGLARY/BREAKING AND ENTERING",2005
"241",-71.092695,42.384456,"ROBBERY",2005
"242",-71.0917108,42.3948102,"MOTOR VEHICLE THEFT",2005
"243",-71.126876,42.403185,"BURGLARY/BREAKING AND ENTERING",2005
"244",-71.086995,42.390708,"MOTOR VEHICLE THEFT",2005
"245",-71.092705,42.384461,"BURGLARY/BREAKING AND ENTERING",2005
"246",-71.099262,42.375004,"THEFT FROM MOTOR VEHICLE",2005
"247",-71.101292,42.381885,"BURGLARY/BREAKING AND ENTERING",2005
"248",-71.095863,42.378109,"BURGLARY/BREAKING AND ENTERING",2005
"249",-71.098603,42.395176,"BURGLARY/BREAKING AND ENTERING",2005
"250",-71.086995,42.390708,"THEFT FROM MOTOR VEHICLE",2005
"251",-71.098603,42.395176,"BURGLARY/BREAKING AND ENTERING",2005
"252",-71.093388,42.397744,"MOTOR VEHICLE THEFT",2005
"253",-71.115834,42.386796,"BURGLARY/BREAKING AND ENTERING",2005
"254",-71.106877,42.377805,"BURGLARY/BREAKING AND ENTERING",2005
"255",-71.087399,42.381805,"BURGLARY/BREAKING AND ENTERING",2005
"256",-71.082634,42.391684,"MOTOR VEHICLE THEFT",2005
"257",-71.115396,42.392275,"BURGLARY/BREAKING AND ENTERING",2005
"258",-71.112645,42.389981,"THEFT FROM MOTOR VEHICLE",2005
"259",-71.088085,42.378632,"MOTOR VEHICLE THEFT",2005
"260",-71.088577,42.380691,"ROBBERY",2005
"261",-71.090425,42.392534,"MOTOR VEHICLE THEFT",2005
"262",-71.07841,42.385301,"THEFT FROM MOTOR VEHICLE",2005
"263",-71.106551,42.378307,"BURGLARY/BREAKING AND ENTERING",2005
"264",-71.089417,42.390002,"BURGLARY/BREAKING AND ENTERING",2005
"265",-71.094812,42.387801,"MOTOR VEHICLE THEFT",2005
"266",-71.126731,42.401669,"THEFT FROM MOTOR VEHICLE",2005
"267",-71.090265,42.395319,"BURGLARY/BREAKING AND ENTERING",2005
"268",-71.11698,42.394248,"BURGLARY/BREAKING AND ENTERING",2005
"269",-71.086967,42.390737,"MOTOR VEHICLE THEFT",2005
"270",-71.108443,42.389377,"BURGLARY/BREAKING AND ENTERING",2005
"271",-71.116662,42.397459,"BURGLARY/BREAKING AND ENTERING",2005
"272",-71.081515,42.382032,"MOTOR VEHICLE THEFT",2005
"273",-71.116374,42.390789,"BURGLARY/BREAKING AND ENTERING",2005
"274",-71.09032,42.384801,"THEFT FROM MOTOR VEHICLE",2005
"275",-71.094745,42.395651,"THEFT FROM MOTOR VEHICLE",2005
"276",-82.5815008,32.7849233,"BURGLARY/BREAKING AND ENTERING",2005
"277",-71.099334,42.389717,"BURGLARY/BREAKING AND ENTERING",2005
"278",-71.115579,42.39352,"BURGLARY/BREAKING AND ENTERING",2005
